time,x,y,vx,vy
0.0,147100000000.0,0.0,0.0,30287.0
31571.57157157157,147096942432.95767,956201563.0508733,-193.69044841339348,30286.37046566039
63143.14314314314,147087769864.46832,1912363381.4097857,-387.37245211379394,30284.481892202002
94714.7147147147,147072482687.63312,2868445756.2883205,-581.0376041733588,30281.334365278675
126286.28628628628,147051081570.91257,3824408918.772039,-774.6774441949594,30276.92803650112
157857.85785785786,147023567451.3056,4780213096.624849,-968.2835022540171,30271.263118785904
189429.4294294294,146989941531.57724,5735818537.317989,-1161.8473160576555,30264.33988451941
221001.001001001,146950205280.2585,6691185508.030027,-1355.3604309447003,30256.158665557843
252572.57257257256,146904360431.6465,7646274295.646854,-1548.8143998856794,30246.719853227223
284144.14414414414,146852408985.8044,8601045206.761696,-1742.2007834828228,30236.023898323383
315715.7157157157,146794353208.56137,9555458567.6751,-1935.5111499700622,30224.071311111977
347287.2872872873,146730195631.51263,10509474724.394947,-2128.7370752130323,30210.862661328472
378858.8588588588,146659939052.0195,11463054042.636442,-2321.8701427090677,30196.39857817816
410430.4304304304,146583586533.2093,12416156907.822115,-2514.9019435872074,30180.67975033614
442002.002002002,146501141403.97537,13368743725.08184,-2707.824076608193,30163.70692594734
473573.57357357355,146412607258.9772,14320774919.2528,-2900.6281481644646,30145.480912626488
505145.1451451451,146317987958.64023,15272210934.87951,-3093.305772280168,30126.002577458148
536716.7167167166,146217287602.34662,16223012317.723665,-3285.848622448135,30105.272831045884
568288.2882882883,146110510475.2657,17173139870.90504,-3478.248522704572,30083.292597905336
599859.8598598598,145997661256.98117,18122554028.887775,-3670.497038662658,30060.062942030756
631431.4314314314,145878744902.8094,19071215233.597374,-3862.585721116108,30035.5849942179
663003.003003003,145753766626.7392,20019083987.002594,-4054.506139883955,30009.859941778945
694574.5745745746,145622731901.43185,20966120851.115448,-4246.249883810555,29982.889028542493
726146.1461461461,145485646458.22134,21912286447.991196,-4437.808560765584,29954.673554853576
757717.7177177176,145342516287.114,22857541459.728355,-4629.173797644037,29925.21487757364
789289.2892892893,145193347636.78882,23801846628.4687,-4820.337240366232,29894.514410080566
820860.8608608608,145038147014.5973,24745162756.397255,-5011.290553877809,29862.573622268654
852432.4324324324,144876921186.5634,25687450705.742302,-5202.025422149722,29829.39404054863
884004.004004004,144709677177.38373,26628671398.775356,-5392.533548178251,29794.977247847648
915575.5755755756,144536422270.42734,27568785817.811226,-5582.806653984997,29759.32488360928
947147.1471471471,144357164007.73584,28507755005.20793,-5772.836480616877,29722.438643793525
978718.7187187187,144171910190.02344,29445540063.366776,-5962.614788146137,29684.320280876815
1010290.2902902903,143980668876.67673,30382102154.7323,-6152.133355670333,29644.97160385199
1041861.8618618618,143783448385.755,31317402501.792297,-6341.3839813123495,29604.394478228336
1073433.4334334333,143580257293.99,32251402387.077835,-6530.358482220388,29562.590826031545
1105005.005005005,143371104436.78595,33184063153.163223,-6719.048694567975,29519.562625803737
1136576.5765765766,143155998908.21973,34115346202.666,-6907.446473553951,29475.31191260347
1168148.148148148,142934950061.04065,35045212998.246994,-7095.543693402479,29429.840778005713
1199719.7197197196,142707967506.6706,35973625062.61026,-7283.33224736305,29383.151370101863
1231291.2912912914,142475061115.204,36900543978.50314,-7470.804047710465,29335.24589349974
1262862.8628628629,142236241015.40784,37825931388.716194,-7657.951025744849,29286.126609323597
1294434.4344344344,141991517594.72153,38749748996.083244,-7844.7651317916525,29235.795835214103
1326006.006006006,141740901499.2571,39671958563.48139,-8031.238335201644,29184.255945328354
1357577.5775775774,141484403631.60196,40592521917.46004,-8217.36262597068,29131.50936929756
1389149.1491491492,141222034864.88562,41511401421.7755,-8403.130208299288,29077.55846321097
1420720.7207207207,140953806484.74835,42428559257.27285,-8588.533133497614,29022.405735880453
1452292.2922922922,140679730252.54437,43343957324.89686,-8773.563297861836,28966.05386286074
1483863.8638638637,140399818168.14072,44257557637.90284,-8958.212629363537,28908.505569516878
1515435.4354354353,140114082469.91742,45169322321.85668,-9142.473087649707,28849.76363102421
1547007.007007007,139822535634.7674,46079213614.63486,-9326.336664042745,28789.830872368388
1578578.5785785785,139525190378.09653,46987193866.424385,-9509.795381540454,28728.71016834538
1610150.15015015,139222059653.8236,47893225539.72287,-9692.84129481605,28666.404443561452
1641721.7217217216,138913156654.3804,48797271209.338486,-9875.466490218148,28602.91667243318
1673293.2932932933,138598494810.71158,49699293562.38999,-10057.66308577078,28538.249879187442
