time,x,y,vx,vy
0.0,778500000000.0,0.0,0.0,13070.0
31571.57157157157,778499890834.4347,412640421.1528696,-6.915434199113861,13069.998167252485
63143.14314314314,778499563337.7692,825280726.5803057,-13.830866448471767,13069.992669010464
94714.7147147147,778499017510.0957,1237920800.556903,-20.746294798317575,13069.983505275502
126286.28628628628,778498253351.5685,1650560527.3577497,-27.661717298924557,13069.97067605021
157857.85785785786,778497270862.4025,2063199791.270999,-34.577132001434364,13069.954181338226
189429.4294294294,778496070042.8746,2475838476.574066,-41.492536956329886,13069.934021144243
221001.001001001,778494650893.3236,2888476467.5371814,-48.407930213608026,13069.91019547401
252572.57257257256,778493013414.1495,3301113648.431384,-55.32330982329081,13069.882704334324
284144.14414414414,778491157605.8141,3713749903.5285254,-62.238673835425416,13069.85154773302
315715.7157157157,778489083468.8408,4126385117.101269,-69.15402030008407,13069.81672567898
347287.2872872873,778486791003.8143,4539019173.423088,-76.06934726736418,13069.77823818213
378858.8588588588,778484280211.381,4951651956.768268,-82.98465278738821,13069.736085253438
410430.4304304304,778481551092.2489,5364283351.411907,-89.8999349103038,13069.69026690492
442002.002002002,778478603647.1875,5776913241.629911,-96.81519168628365,13069.64078314963
473573.57357357355,778475437877.0278,6189541511.699001,-103.73042116552564,13069.587634001673
505145.1451451451,778472053782.6625,6602168045.896708,-110.64562139825269,13069.530819476193
536716.7167167166,778468451365.0454,7014792728.501372,-117.5607904347129,13069.47033958938
568288.2882882883,778464630625.1926,7427415443.792149,-124.47592632517946,13069.406194358464
599859.8598598598,778460591564.181,7840036076.049001,-131.39102711995065,13069.338383801727
631431.4314314314,778456334183.1498,8252654509.552706,-138.3060908693499,13069.26690793849
663003.003003003,778451858483.299,8665270628.584848,-145.22111562372578,13069.191766789116
694574.5745745746,778447164465.8904,9077884317.42783,-152.13609943345193,13069.112960375016
726146.1461461461,778442252132.2478,9490495460.364859,-159.0510403489271,13069.030488718643
757717.7177177176,778437121483.7559,9903103941.679956,-165.9659364205752,13068.944351843495
789289.2892892893,778431772521.8615,10315709645.657957,-172.88078569884524,13068.854549774112
820860.8608608608,778426205248.0724,10728312456.5845,-179.7955862342113,13068.76108253608
852432.4324324324,778420419663.9584,11140912258.746044,-186.71033607717268,13068.66395015603
884004.004004004,778414415771.1506,11553508936.429855,-193.62503327825365,13068.563152661633
915575.5755755756,778408193571.3419,11966102373.924011,-200.5396758880038,13068.458690081607
947147.1471471471,778401753066.2865,12378692455.517399,-207.45426195699756,13068.350562445712
978718.7187187187,778395094257.8002,12791279065.499723,-214.36878953583474,13068.238769784757
1010290.2902902903,778388217147.7604,13203862088.161491,-221.28325667514014,13068.123312130589
1041861.8618618618,778381121738.1061,13616441407.794027,-228.19766142556364,13068.004189516101
1073433.4334334333,778373808030.8376,14029016908.689466,-235.11200183778033,13067.881401975232
1105005.005005005,778366276028.0172,14441588475.140755,-242.0262759624904,13067.75494954296
1136576.5765765766,778358525731.7684,14854155991.441648,-248.94048185041905,13067.624832255313
1168148.148148148,778350557144.2764,15266719341.886713,-255.85461755231674,13067.49105014936
1199719.7197197196,778342370267.7876,15679278410.771334,-262.76868111895897,13067.353603263213
1231291.2912912914,778333965104.1553,16091833085.26201,-269.68267078099404,13067.212491609798
1262862.8628628629,778325341655.152,16504383253.36969,-276.596584824273,13067.06771519501
1294434.4344344344,778316499923.2338,16916928799.15617,-283.5104212884964,13066.919274061682
1326006.006006006,778307439910.9211,17329469606.667774,-290.42417821220204,13066.767168253871
1357577.5775775774,778298161620.7959,17742005559.956673,-297.33785363409663,13066.611397816661
1389149.1491491492,778288665055.501,18154536543.080875,-304.2514455930558,13066.451962796156
1420720.7207207207,778278950217.7406,18567062440.104244,-311.1649521281237,13066.288863239493
1452292.2922922922,778269017110.2802,18979583135.09648,-318.07837127851354,13066.122099194832
1483863.8638638637,778258865735.9463,19392098512.13315,-324.99170108360744,13065.95167071136
1515435.4354354353,778248496097.6267,19804608455.295643,-331.90493958295633,13065.777577839286
