time,x,y,vx,vy
0.0,227900000000.0,0.0,0.0,24100.0
31571.57157157157,227898726162.9943,760873457.2494602,-80.69511690044484,24099.865294109983
63143.14314314314,227894904666.09338,1521738408.7597642,-161.38933956953707,24099.461177906473
94714.7147147147,227888535551.33524,2282586352.815115,-242.08177545077004,24098.787655669505
126286.28628628628,227879618889.03928,3043408786.3412676,-322.77153161365936,24097.84473464071
157857.85785785786,227868154778.21167,3804197200.6012483,-403.4577126582185,24096.632425175754
189429.4294294294,227854143346.0581,4564943088.07923,-484.1394234120885,24095.15074055088
221001.001001001,227837584747.98212,5325637942.502964,-564.8157689396619,24093.399696962224
252572.57257257256,227818479167.58508,6086273258.843773,-645.4858545420827,24091.379313525846
284144.14414414414,227796826816.66623,6846840533.316563,-726.1487857572465,24089.0896122777
315715.7157157157,227772627935.2226,7607331263.3798065,-806.8036683598,24086.53061817366
347287.2872872873,227745882791.44907,8367736947.735559,-887.4496083611416,24083.7023590895
378858.8588588588,227716591681.73837,9128049086.329458,-968.0857120094211,24080.604865820907
410430.4304304304,227684754930.68106,9888259180.350704,-1048.71108578954,24077.238172083475
442002.002002002,227650372891.06558,10648358732.232082,-1129.3248364231506,24073.602314512704
473573.57357357355,227613445943.87814,11408339245.649952,-1209.9260708686575,24069.697332664004
505145.1451451451,227573974498.30283,12168192225.524244,-1290.5138963212166,24065.523269012694
536716.7167167166,227531958991.72153,12927909178.018476,-1371.087420212734,24061.080168954002
568288.2882882883,227487399889.71402,13687481610.53974,-1451.6457502118694,24056.368080803062
599859.8598598598,227440297686.05792,14446901031.738688,-1532.187994224032,24051.387055794916
631431.4314314314,227390652902.72864,15206158951.509577,-1612.7132603913842,24046.13714808452
663003.003003003,227338466087.54974,15965246890.533802,-1693.2206606137795,24040.618413910393
694574.5745745746,227283737792.36166,16724156466.901825,-1773.7093427581683,24034.83090388352
726146.1461461461,227226468620.23233,17482879202.98338,-1854.1784193308265,24028.77467987349
757717.7177177176,227166659210.64355,18241406590.240273,-1934.626990549229,24022.44980964769
789289.2892892893,227104310230.8992,18999730124.662952,-2015.0541573305063,24015.85636380087
820860.8608608608,227039422376.12546,19757841306.7705,-2095.4590212914422,24008.99441575514
852432.4324324324,226971996369.27072,20515731641.61065,-2175.840684748477,24001.864041759956
884004.004004004,226902032961.1055,21273392638.759754,-2256.1982507177054,23994.465320892137
915575.5755755756,226829532930.22263,22030815812.322823,-2336.530822914877,23986.798335055868
947147.1471471471,226754497083.03702,22787992680.933487,-2416.837505755395,23978.863168982673
978718.7187187187,226676926253.7859,23544914767.75404,-2497.117404354321,23970.659910231443
1010290.2902902903,226596821304.52866,24301573600.475388,-2577.3696245263686,23962.18864918842
1041861.8618618618,226514183125.1469,25057960711.3171,-2657.593272785907,23953.449479067218
1073433.4334334333,226429012633.34442,25814067637.027367,-2737.787456346961,23944.44249590879
1105005.005005005,226341310774.64722,26569885918.883022,-2817.9512831232105,23935.16779858145
1136576.5765765766,226251078522.4035,27325407102.689545,-2898.0838617279883,23925.625488780875
1168148.148148148,226158316877.78372,28080622738.78104,-2978.184301474285,23915.81567103009
1199719.7197197196,226063026869.7805,28835524382.02027,-3058.2517123747443,23905.738452679485
1231291.2912912914,225965209555.20865,29590103591.798634,-3138.285205141666,23895.393943906805
1262862.8628628629,225864866018.70523,30344351932.03614,-3218.2838911870035,23884.782257717143
1294434.4344344344,225761997372.72946,31098260971.181465,-3298.2468826223667,23873.903509942964
1326006.006006006,225656604757.56284,31851822282.211926,-3378.1732922590186,23862.757819244074
1357577.5775775774,225548689341.30896,32605027442.63346,-3458.0622336078795,23851.345307107647
1389149.1491491492,225438252319.89377,33357868034.48066,-3537.9128208795228,23839.66609784821
1420720.7207207207,225325294917.06525,34110335644.31675,-3617.7241689841776,23827.720318607644
1452292.2922922922,225209818384.39374,34862421863.23359,-3697.4953935317276,23815.50809935519
1483863.8638638637,225091824001.27167,35614118286.85168,-3777.2256108317115,23803.029572887448
1515435.4354354353,224971313074.9138,36365416515.32017,-3856.913937893324,23790.28487482837
1547007.007007007,224848286940.35693,37116308153.316826,-3936.5594924254137,23777.27414362926
1578578.5785785785,224722746960.4602,37866784810.04808,-4016.1613928364836,23763.997520568795
1610150.15015015,224594694525.90497,38616838099.24899,-4095.718758234693,23750.455149752994
1641721.7217217216,224464131055.19467,39366459639.18326,-4175.2307084278555,23736.647178115236
1673293.2932932933,224331057994.65506,40115641052.6432,-4254.69636392344,23722.573755416262
1704864.8648648649,224195476818.43408,40864373966.94981,-4334.114845928569,23708.235034244168
1736436.4364364364,224057389028.5018,41612650013.95269,-4413.485276350022,23693.631170014396
1768008.008008008,223916796154.6506,42360460830.0301,-4492.806777794233,23678.762320969763
1799579.5795795794,223773699754.495,43107798056.08893,-4572.07847356729,23663.628648180424
1831151.1511511512,223628101413.47177,43854653337.56471,-4651.299487674937,23648.230315543908
1862722.7227227227,223480002744.83984,44601018324.42161,-4730.46894482257,23632.56748978509
1894294.2942942942,223329405389.6804,45346884671.152435,-4809.585970415244,23616.640340456204
