time,x,y,vx,vy
0.0,5906400000000.0,0.0,0.0,4740.0
31571.57157157157,5906399998103.481,149649249.23323205,-0.1201409319960465,4739.999998478006
63143.14314314314,5906399992413.924,299298498.37036055,-0.24028186391502537,4739.999993912027
94714.7147147147,5906399982931.329,448947747.3152822,-0.3604227956798689,4739.999986302062
126286.28628628628,5906399969655.695,598596995.9718938,-0.4805637272135095,4739.99997564811
157857.85785785786,5906399952587.024,748246244.2440915,-0.6007046584388793,4739.999961950172
189429.4294294294,5906399931725.315,897895492.0357718,-0.7208455892789107,4739.9999452082475
221001.001001001,5906399907070.568,1047544739.2508318,-0.840986519656536,4739.999925422338
252572.57257257256,5906399878622.783,1197193985.793168,-0.9611274494946878,4739.999902592441
284144.14414414414,5906399846381.96,1346843231.5666769,-1.081268378716298,4739.999876718558
315715.7157157157,5906399810348.1,1496492476.4752548,-1.2014093072442988,4739.999847800689
347287.2872872873,5906399770521.2,1646141720.422798,-1.321550235001624,4739.999815838834
378858.8588588588,5906399726901.263,1795790963.3132043,-1.4416911619112065,4739.999780832994
410430.4304304304,5906399679488.288,1945440205.0503707,-1.5618320878959797,4739.999742783166
442002.002002002,5906399628282.276,2095089445.538193,-1.6819730128788755,4739.999701689353
473573.57357357355,5906399573283.226,2244738684.680568,-1.8021139367828258,4739.999657551553
505145.1451451451,5906399514491.138,2394387922.3813925,-1.9222548595307636,4739.999610369768
536716.7167167166,5906399451906.012,2544037158.5445623,-2.0423957810456197,4739.999560143997
568288.2882882883,5906399385527.849,2693686393.073974,-2.1625367012503274,4739.999506874239
599859.8598598598,5906399315356.647,2843335625.8735247,-2.282677620067818,4739.999450560496
631431.4314314314,5906399241392.409,2992984856.8471107,-2.402818537421025,4739.999391202767
663003.003003003,5906399163635.133,3142634085.898628,-2.5229594532328794,4739.999328801052
694574.5745745746,5906399082084.819,3292283312.9319754,-2.643100367426314,4739.999263355351
726146.1461461461,5906398996741.468,3441932537.8510456,-2.76324127992426,4739.999194865664
757717.7177177176,5906398907605.079,3591581760.559737,-2.8833821906496504,4739.999123331992
789289.2892892893,5906398814675.653,3741230980.9619484,-3.0035230995254176,4739.999048754335
820860.8608608608,5906398717953.19,3890880198.9615717,-3.1236640064744936,4739.998971132691
852432.4324324324,5906398617437.69,4040529414.462508,-3.24380491141981,4739.998890467062
884004.004004004,5906398513129.152,4190178627.3686504,-3.3639458142843006,4739.998806757448
915575.5755755756,5906398405027.578,4339827837.583899,-3.4840867149908963,4739.998720003848
947147.1471471471,5906398293132.967,4489477045.012146,-3.604227613462529,4739.998630206262
978718.7187187187,5906398177445.318,4639126249.557291,-3.724368509622132,4739.998537364691
1010290.2902902903,5906398057964.633,4788775451.12323,-3.8445094033926375,4739.998441479135
1041861.8618618618,5906397934690.91,4938424649.61386,-3.964650294696977,4739.998342549594
