time,x,y,vx,vy
0.0,1433500000000.0,0.0,0.0,9690.0
31571.57157157157,1433499967803.5852,305928526.2381433,-2.039582653163064,9689.999782362567
63143.14314314314,1433499871214.3418,611857038.7339754,-4.0791652108814205,9689.999129450276
94714.7147147147,1433499710232.2744,917785523.7451851,-6.118747577710348,9689.998041263163
126286.28628628628,1433499484857.3906,1223713967.5294633,-8.158329658205147,9689.996517801283
157857.85785785786,1433499195089.701,1529642356.344503,-10.19791135692114,9689.99455906471
189429.4294294294,1433498840929.219,1835570676.448389,-12.237492578423987,9689.992165053545
221001.001001001,1433498422375.9614,2141498914.099359,-14.27707322728368,9689.989335767908
252572.57257257256,1433497939429.9478,2447427055.5549293,-16.31665320805191,9689.986071207944
284144.14414414414,1433497392091.2002,2753355087.072633,-18.3562324252804,9689.982371373817
315715.7157157157,1433496780359.745,3059282994.9100227,-20.395810783521156,9689.978236265713
347287.2872872873,1433496104235.6104,3365210765.3246784,-22.43538818732648,9689.973665883841
378858.8588588588,1433495363718.8281,3671138384.574197,-24.47496454124896,9689.968660228435
410430.4304304304,1433494558809.4329,3977065838.9162035,-26.514539749841486,9689.963219299743
442002.002002002,1433493689507.4624,4282993114.608342,-28.55411371765725,9689.957343098045
473573.57357357355,1433492755812.957,4588920197.90828,-30.593686349249698,9689.951031623636
505145.1451451451,1433491757725.961,4894847075.073711,-32.63325754917261,9689.944284876834
536716.7167167166,1433490695246.5205,5200773732.362347,-34.67282722198004,9689.937102857983
568288.2882882883,1433489568374.6855,5506700156.031922,-36.71239527222635,9689.929485567443
599859.8598598598,1433488377110.5088,5812626332.340197,-38.75196160446616,9689.9214330056
631431.4314314314,1433487121454.046,6118552247.544953,-40.79152612325441,9689.912945172862
663003.003003003,1433485801405.3557,6424477887.903994,-42.831088733146316,9689.904022069657
694574.5745745746,1433484416964.5,6730403239.675146,-44.87064933869743,9689.894663696437
726146.1461461461,1433482968131.5437,7036328289.116259,-46.910207844463514,9689.884870053675
757717.7177177176,1433481454906.5544,7342253022.485205,-48.94976415500071,9689.874641141863
789289.2892892893,1433479877289.603,7648177426.039882,-50.98931817486542,9689.863976961524
820860.8608608608,1433478235280.7632,7954101486.038201,-53.02886980861429,9689.85287751319
852432.4324324324,1433476528880.112,8260025188.738109,-55.06841896080434,9689.84134279743
884004.004004004,1433474758087.7292,8565948520.397565,-57.107965535992804,9689.82937281482
915575.5755755756,1433472922903.6978,8871871467.274557,-59.1475094387373,9689.81696756597
947147.1471471471,1433471023328.1033,9177794015.627089,-61.18705057359564,9689.804127051502
978718.7187187187,1433469059361.0352,9483716151.713198,-63.22658884512602,9689.790851272071
1010290.2902902903,1433467031002.5847,9789637861.790932,-65.26612415788684,9689.777140228343
1041861.8618618618,1433464938252.8472,10095559132.11837,-67.30565641643685,9689.762993921015
1073433.4334334333,1433462781111.9204,10401479948.95361,-69.34518552533507,9689.748412350798
1105005.005005005,1433460559579.9055,10707400298.554777,-71.38471138914085,9689.733395518433
1136576.5765765766,1433458273656.9062,11013320167.180012,-73.42423391241377,9689.717943424677
1168148.148148148,1433455923343.0295,11319239541.087482,-75.46375299971376,9689.702056070311
1199719.7197197196,1433453508638.3855,11625158406.53538,-77.503268555601,9689.68573345614
1231291.2912912914,1433451029543.0874,11931076749.781916,-79.542780484636,9689.668975582987
1262862.8628628629,1433448486057.2507,12236994557.085323,-81.58228869137952,9689.651782451698
1294434.4344344344,1433445878180.9946,12542911814.703861,-83.62179308039262,9689.634154063144
1326006.006006006,1433443205914.4417,12848828508.895813,-85.66129355623673,9689.616090418216
1357577.5775775774,1433440469257.716,13154744625.919481,-87.70079002347346,9689.597591517828
1389149.1491491492,1433437668210.9465,13460660152.03319,-89.74028238666479,9689.578657362912
1420720.7207207207,1433434802774.264,13766575073.495285,-91.77977055037293,9689.559287954427
1452292.2922922922,1433431872947.8022,14072489376.564146,-93.81925441916046,9689.539483293354
1483863.8638638637,1433428878731.6987,14378403047.498156,-95.85873389759017,9689.519243380691
1515435.4354354353,1433425820126.0935,14684316072.55574,-97.8982088902252,9689.498568217461
1547007.007007007,1433422697131.1296,14990228437.995337,-99.937679301629,9689.47745780471
1578578.5785785785,1433419509746.9531,15296140130.0754,-101.97714503636521,9689.455912143509
1610150.15015015,1433416257973.7134,15602051135.054424,-104.0166059989979,9689.43393123494
1641721.7217217216,1433412941811.5337,15907961439.415758,-106.05606209977145,9689.411515079491
1673293.2932932933,1433409561260.4678,16213871030.211927,-108.09551326336366,9689.388663676074
1704864.8648648649,1433406116320.6663,16519779893.751991,-110.13495939573785,9689.365377025691
1736436.4364364364,1433402606992.2922,16825688016.273266,-112.17440040104455,9689.341655129563
1768008.008008008,1433399033275.512,17131595384.013285,-114.21383618343708,9689.317497988934
1799579.5795795794,1433395395170.4946,17437501983.209816,-116.25326664707168,9689.292905605069
1831151.1511511512,1433391692677.4119,17743407800.10085,-118.29269169610741,9689.267877979257
1862722.7227227227,1433387925796.439,18049312820.924603,-120.33211123470613,9689.242415112805
1894294.2942942942,1433384094527.7544,18355217031.919518,-122.37152516703263,9689.21651700705
1925865.8658658657,1433380198871.5386,18661120419.324265,-124.41093339725451,9689.190183663337
1957437.4374374375,1433376238827.976,18967022969.37774,-126.45033582954227,9689.163415083045
1989009.009009009,1433372214397.254,19272924668.31906,-128.48973236806918,9689.13621126757
2020580.5805805805,1433368125579.562,19578825502.38758,-130.52912291701145,9689.108572218332
2052152.152152152,1433363972375.0938,19884725457.82287,-132.56850738054806,9689.080497936768
2083723.7237237236,1433359754784.045,20190624520.864727,-134.60788566286092,9689.051988424339
2115295.2952952953,1433355472806.615,20496522677.75319,-136.64725766813478,9689.023043682531
2146866.8668668666,1433351126443.0056,20802419914.728497,-138.68662330055713,9688.993663712849
2178438.4384384383,1433346715693.4224,21108316218.031136,-140.72598246431852,9688.963848516818
2210010.01001001,1433342240558.073,21414211573.901814,-142.76533506361216,9688.933598095988
2241581.5815815814,1433337701037.1687,21720105968.58145,-144.8046810026342,9688.90291245193
2273153.153153153,1433333097130.9236,22025999388.31122,-146.84402018558364,9688.871791586234
2304724.7247247244,1433328428839.555,22331891819.33249,-148.8833525166623,9688.840235500518
2336296.296296296,1433323696163.2827,22637783247.88688,-150.92267790007494,9688.808244196416
2367867.867867868,1433318899102.33,22943673660.216225,-152.96199624002907,9688.775817675583
2399439.439439439,1433314037656.923,23249563042.562584,-155.00130744073505,9688.742955939702
2431011.011011011,1433309111827.291,23555451381.16825,-157.04061140640619,9688.709658990472
2462582.5825825827,1433304121613.6658,23861338662.27574,-159.0799080412586,9688.675926829615
2494154.154154154,1433299067016.2825,24167224872.12778,-161.11919724951116,9688.64175945888
2525725.7257257258,1433293948035.3794,24473109996.96736,-163.1584789353858,9688.607156880029
2557297.297297297,1433288764671.1978,24778994023.03765,-165.19775300310707,9688.572119094852
2588868.868868869,1433283516923.9817,25084876936.582092,-167.23701935690258,9688.536646105156
2620440.4404404406,1433278204793.978,25390758723.844322,-169.27627790100263,9688.500737912778
2652012.012012012,1433272828281.437,25696639371.068203,-171.31552853964047,9688.464394519568
2683583.5835835836,1433267387386.6118,26002518864.49785,-173.3547711770522,9688.427615927401
2715155.155155155,1433261882109.7588,26308397190.377567,-175.39400571747666,9688.390402138175
2746726.7267267266,1433256312451.1367,26614274334.951927,-177.43323206515578,9688.35275315381
2778298.2982982984,1433250678411.008,26920150284.4657,-179.47245012433405,9688.314668976243
