time,x,y,vx,vy
0.0,108200000000.0,0.0,0.0,35000.0
31571.57157157157,108194348748.59161,1104985766.9243581,-357.9931034411379,34998.17196104076
63143.14314314314,108177395575.82112,2209856148.737056,-715.9490378294797,34992.68802554844
94714.7147147147,108149142224.87602,3314495836.108662,-1073.8307414450485,34983.548737803394
126286.28628628628,108109591645.55528,4418789316.872563,-1431.600880328911,34970.75505618694
157857.85785785786,108058747961.55437,5522621148.051498,-1789.2221418774989,34954.3083145745
189429.4294294294,107996616466.57611,6625875984.441737,-2146.6572686729064,34934.21021785223
221001.001001001,107923203624.33081,7728438578.613082,-2503.8690584828933,34910.46284191703
252572.57257257256,107838517068.5361,8830193780.90886,-2860.8203642608805,34883.06863367654
284144.14414414414,107742565602.91708,9931026539.445927,-3217.474094145954,34852.03041104912
315715.7157157157,107635359201.20624,11030821900.114666,-3573.793211462861,34817.35136296388
347287.2872872873,107516909007.14343,12129465006.578999,-3929.740734722015,34779.03504936065
378858.8588588588,107387227334.476,13226841100.27636,-4285.2797376194885,34737.08540119002
410430.4304304304,107246327641.19421,14322835595.216423,-4640.3734171400665,34691.50669640893
442002.002002002,107094224377.5839,15417334505.811367,-4994.985422824482,34642.303432849236
473573.57357357355,106930933406.55945,16510223257.438332,-5349.078674292451,34589.48073772539
505145.1451451451,106756471799.6194,17601387345.318657,-5702.6160167702565,34533.044158096505
536716.7167167166,106570857768.8389,18690712537.15388,-6055.560413945265,34472.99959512494
568288.2882882883,106374110666.86972,19778084873.125748,-6407.874947965935,34409.35330407633
599859.8598598598,106166250986.94035,20863390665.896175,-6759.522819441798,34342.11189431957
631431.4314314314,105947300362.8559,21946516500.607315,-7110.467347443484,34271.28232932683
663003.003003003,105717281568.99812,23027349234.881493,-7460.671969502699,34196.87192667354
694574.5745745746,105476218520.32549,24105775998.82125,-7810.1002416122365,34118.88835803839
726146.1461461461,105224136272.37305,25181684195.009315,-8158.715838225975,34037.33964920335
757717.7177177176,104961061021.25256,26254961498.508614,-8506.48255225888,33952.234180053645
789289.2892892893,104687020103.65242,27325495856.86229,-8853.364295086998,33863.58068457776
820860.8608608608,104402041996.83768,28393175490.09366,-9199.325096547467,33771.38825086747
852432.4324324324,104106156318.65005,29457888890.70627,-9544.3291049385,33675.66632111779
884004.004004004,103799393827.5079,30519524823.68383,-9888.340587019407,33576.424691627006
915575.5755755756,103481786422.40625,31577972326.49028,-10231.323928010574,33473.67351279668
947147.1471471471,103153367142.56203,32633120709.650326,-10573.243631980335,33367.423288874554
978718.7187187187,102814169723.30441,33684860282.316135,-10914.064726849074,33257.68458932227
1010290.2902902903,102464229264.31836,34733081287.04578,-11253.751809709891,33144.4686336401
1041861.8618618618,102103582429.67905,35777673630.2617,-11592.269049987435,33027.78735366272
